Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"San Fransisco, Corrientes, Argentina",2/1/2021,73.1,68.6,71.1,,,1.59,0,0,9.2,144.5,,8.9,92,93.16,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",2/2/2021,76.4,69.2,73.2,,,0.71,0,0,26.4,154.5,,8.1,96.5,92.41,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",2/3/2021,72.2,67.7,71,,,1.26,0,0,17.2,180.5,,8,100,95.94,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",2/4/2021,80.9,64.5,74.1,,81.9,0,0,0,24.2,202,,12.4,29,66.43,Partially cloudy
"San Fransisco, Corrientes, Argentina",2/5/2021,82.7,60.9,75.6,,83.3,0,0,0,18.3,206.5,,12.4,2,63.45,Clear
"San Fransisco, Corrientes, Argentina",2/6/2021,84.3,60.5,76.3,,84.9,0,0,0,5.8,130.5,,12.1,0,61.76,Clear
"San Fransisco, Corrientes, Argentina",2/7/2021,88.4,62.3,79.2,,90.1,0,0,0,10.3,71,,12.4,0,62.61,Clear
"San Fransisco, Corrientes, Argentina",2/8/2021,90.2,67.7,81.6,,92.4,0,0,0,10.3,118.89,,12.4,34.5,61.22,Partially cloudy
"San Fransisco, Corrientes, Argentina",2/9/2021,85.4,67.4,77.9,,90.7,0,0,0,10.3,168.82,,12.4,87,71.29,Overcast
"San Fransisco, Corrientes, Argentina",2/10/2021,68.6,65.9,67.3,,,0,0,0,9.2,240,,12.4,90,84.15,Overcast
"San Fransisco, Corrientes, Argentina",2/11/2021,,,,,,0,,,,,,,,,
"San Fransisco, Corrientes, Argentina",2/12/2021,,,,,,0,,,,,,,,,
"San Fransisco, Corrientes, Argentina",2/13/2021,86.6,69,78.8,,90,0.02,0,0,15,230.5,,12.4,60,69.03,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",2/14/2021,83.9,70.4,76.7,,86.5,0.19,0,0,10.3,205.24,,12.4,66.2,75.32,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",2/15/2021,87.5,68.1,80.7,,90.9,0,0,0,16.1,219,,12.4,37,65.05,Partially cloudy
"San Fransisco, Corrientes, Argentina",2/16/2021,84.3,64.1,77.5,,85.5,0,0,0,16.1,220,,12.4,16.5,62.63,Clear
"San Fransisco, Corrientes, Argentina",2/17/2021,83.4,58.7,74.2,,82.8,0,0,0,16.1,234.5,,12.4,2.5,54.07,Clear
"San Fransisco, Corrientes, Argentina",2/18/2021,87.2,60.2,77.7,,87.4,0,0,0,11.4,198.5,,11.2,7,58.23,Clear
"San Fransisco, Corrientes, Argentina",2/19/2021,90.6,63.2,72.7,,91.2,0,0,0,10.3,260,,12.4,20,65.22,Clear
"San Fransisco, Corrientes, Argentina",2/20/2021,90.6,77.1,83.8,,91.1,0,0,0,5.8,170,,9.3,25,53.56,Clear
"San Fransisco, Corrientes, Argentina",2/21/2021,91.5,74.4,85.5,,93.4,0,0,0,4.7,86.67,,12.4,36.9,50.27,Partially cloudy
"San Fransisco, Corrientes, Argentina",2/22/2021,95.1,72.8,85.1,,98.4,0,0,0,5.8,88,,12.4,36.5,60.18,Partially cloudy
